Bracket Type=4,
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name,
Blank,CK_M2512_001,,D:\MS-DATA\2_Wash,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F1,0,,0,0,0,0,,,,,,,,
QC,CK_M2512_002,,D:\MS-DATA\1_QC,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F9,0.5,,0,0,0,0,,,,,,,,
QC,CK_M2512_003,,D:\MS-DATA\1_QC,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F9,0.5,,0,0,0,0,,,,,,,,
QC,CK_M2512_004,,D:\MS-DATA\1_QC,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F9,0.5,,0,0,0,0,,,,,,,,
Blank,CK_M2512_005,,D:\MS-DATA\2_Wash,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F1,0,,0,0,0,0,,,,,,,,
Blank,CK_M2512_006,,D:\MS-DATA\2_Wash,C:\Xcalibur\methods\CK\upac\251107_end_upactrap,,,G:F1,0,,0,0,0,0,,,,,,,,
Blank,AD_M2512_007,WASH,D:\MS-DATA\2_Wash,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F1,0,,0,0,0,0,,,,,,,,
QC,AD_M2512_008,QC,D:\MS-DATA\1_QC,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F9,0.5,,0,0,0,0,,,,,,,,
Unknown,AD_M2512_009,CTRL_01,D:\MS-DATA\AD\20251211.CTRL.DOX.test.DIA,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,Y:A1,0.7,,0,0,0,0,,,,,,,,
Unknown,AD_M2512_010,CTRL_02,D:\MS-DATA\AD\20251211.CTRL.DOX.test.DIA,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,Y:B1,0.5,,0,0,0,0,,,,,,,,
Unknown,AD_M2512_011,CTRL_03,D:\MS-DATA\AD\20251211.CTRL.DOX.test.DIA,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,Y:C1,0.5,,0,0,0,0,,,,,,,,
Unknown,AD_M2512_012,DOX_01,D:\MS-DATA\AD\20251211.CTRL.DOX.test.DIA,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,Y:D1,0.7,,0,0,0,0,,,,,,,,
Unknown,AD_M2512_013,DOX_02,D:\MS-DATA\AD\20251211.CTRL.DOX.test.DIA,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,Y:E1,1,,0,0,0,0,,,,,,,,
Unknown,AD_M2512_014,DOX_03,D:\MS-DATA\AD\20251211.CTRL.DOX.test.DIA,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,Y:F1,0.7,,0,0,0,0,,,,,,,,
Blank,AD_M2512_015,WASH,D:\MS-DATA\2_Wash,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F1,0,,0,0,0,0,,,,,,,,
QC,AD_M2512_016,QC,D:\MS-DATA\1_QC,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F9,0.5,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_017,BRD9_AB1_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A1,1.3,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_018,BRD9_AB2_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A2,1.3,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_019,BRD9_AB3_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A3,2.4,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_020,cMYB_AB1_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A4,1,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_021,cMYB_AB2_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A5,1.5,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_022,IgG_NC_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A6,1.9,,0,0,0,0,,,,,,,,
Blank,TDM_M2512_023,WASH,D:\MS-DATA\2_Wash,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F1,0,,0,0,0,0,,,,,,,,
QC,TDM_M2512_024,QC,D:\MS-DATA\1_QC,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F9,0.5,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_025,BRD9_AB1_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A1,1.3,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_026,BRD9_AB2_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A2,1.2,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_027,BRD9_AB3_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A3,2.2,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_028,cMYB_AB1_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A4,2,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_029,cMYB_AB2_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A5,2.9,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_030,IgG_NC_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A6,1.5,,0,0,0,0,,,,,,,,
Blank,TDM_M2512_031,WASH,D:\MS-DATA\2_Wash,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F1,0,,0,0,0,0,,,,,,,,
QC,TDM_M2512_032,QC,D:\MS-DATA\1_QC,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F9,0.5,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_033,BRD9_AB1_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A1,1.3,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_034,BRD9_AB2_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A2,1.3,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_035,BRD9_AB3_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A3,2.4,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_036,cMYB_AB1_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A4,1,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_037,cMYB_AB2_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A5,1.5,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_038,IgG_NC_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A6,1.9,,0,0,0,0,,,,,,,,
Blank,TDM_M2512_039,WASH,D:\MS-DATA\2_Wash,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F1,0,,0,0,0,0,,,,,,,,
QC,TDM_M2512_040,QC,D:\MS-DATA\1_QC,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F9,0.5,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_041,BRD9_AB1_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A1,1.3,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_042,BRD9_AB2_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A2,1.2,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_043,BRD9_AB3_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A3,2.2,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_044,cMYB_AB1_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A4,2,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_045,cMYB_AB2_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A5,2.9,,0,0,0,0,,,,,,,,
Unknown,TDM_M2512_046,IgG_NC_rep1,D:\MS-DATA\TDM\20251212.NQ.TDM.BRD9.RIME,C:\Xcalibur\methods\CK\upac\251031_DIA_28vWin_uPAC_90min_350_upactrap,,,B:A6,1.5,,0,0,0,0,,,,,,,,
Blank,TDM_M2512_047,WASH,D:\MS-DATA\2_Wash,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F1,0,,0,0,0,0,,,,,,,,
QC,TDM_M2512_048,QC,D:\MS-DATA\1_QC,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F9,0.5,,0,0,0,0,,,,,,,,
Blank,ALE_M2512_049,WASH,D:\MS-DATA\2_Wash,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F1,0,,0,0,0,0,,,,,,,,
Unknown,ALE_M2512_050,pIgA1,D:\MS-DATA\Ale\IgAAntigenome_161225,C:\Xcalibur\methods\upac-dda-standard\251216_uPAC-24SPD_DDA_top20_350-1650,,,B:A1,1,,0,0,0,0,,,,,,,,
Unknown,ALE_M2512_051,pIgA2,D:\MS-DATA\Ale\IgAAntigenome_161225,C:\Xcalibur\methods\upac-dda-standard\251216_uPAC-24SPD_DDA_top20_350-1650,,,B:A2,1,,0,0,0,0,,,,,,,,
Unknown,ALE_M2512_052,pIgA3,D:\MS-DATA\Ale\IgAAntigenome_161225,C:\Xcalibur\methods\upac-dda-standard\251216_uPAC-24SPD_DDA_top20_350-1650,,,B:A3,1,,0,0,0,0,,,,,,,,
Blank,ALE_M2512_053,WASH,D:\MS-DATA\2_Wash,C:\Xcalibur\methods\upac-dia-standard\quant\251119_uPAC-50SPD_DIA_24vwin_350-1200_15K,,,G:F1,0,,0,0,0,0,,,,,,,,
Unknown,ALE_M2512_054,PlasmaIgA1,D:\MS-DATA\Ale\IgAAntigenome_161225,C:\Xcalibur\methods\upac-dda-standard\251216_uPAC-24SPD_DDA_top20_350-1650,,,B:A4,1,,0,0,0,0,,,,,,,,
